d90e5bc9f95dc7eb,  Wed Jun 08:00:04  33.0373646395378 -97.28256267459736 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 117.49466446836013
d90e5bc9f95dc7eb,  Wed Jun 08:00:09  33.03748927974377 -97.28284834918406 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 117.49483070073434
d90e5bc9f95dc7eb,  Wed Jun 08:00:14  33.037299142180245 -97.28307698223837 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 45.22950032953563
d90e5bc9f95dc7eb,  Wed Jun 08:00:19  33.0373299686358 -97.28338350869626 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 99.26410792290977
d90e5bc9f95dc7eb,  Wed Jun 08:00:24  33.037206951844595 -97.28357602738767 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.223687834911782
d90e5bc9f95dc7eb,  Wed Jun 08:00:29  33.03694772448648 -97.28366600383939 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.223736921399368
d90e5bc9f95dc7eb,  Wed Jun 08:00:34  33.03668849719299 -97.28375598029132 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.223786028616637
d90e5bc9f95dc7eb,  Wed Jun 08:00:39  33.036429269964195 -97.2838459567437 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.223835224966283
d90e5bc9f95dc7eb,  Wed Jun 08:00:44  33.03617000941986 -97.2839357811264 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:00:49  33.03591085223235 -97.28402604368559 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:00:54  33.035651695044834 -97.28411630597927 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:00:59  33.03539253785732 -97.28420656800746 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:01:04  33.035133380669805 -97.28429682977016 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:01:09  33.03487422348229 -97.28438709126736 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 16.276930317927878
d90e5bc9f95dc7eb,  Wed Jun 08:01:14  33.03460784993493 -97.28440029122616 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -3.529647587165806
d90e5bc9f95dc7eb,  Wed Jun 08:01:19  33.03434847576469 -97.2843309305286 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -23.78946452978473
d90e5bc9f95dc7eb,  Wed Jun 08:01:24  33.03410143638672 -97.28420102805727 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -23.78946452978473
d90e5bc9f95dc7eb,  Wed Jun 08:01:29  33.0338495810486 -97.28408573868434 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -19.13228468216978
d90e5bc9f95dc7eb,  Wed Jun 08:01:34  33.03359451507038 -97.28398019145152 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -19.13228468216978
d90e5bc9f95dc7eb,  Wed Jun 08:01:39  33.03336499796151 -97.28382591688964 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -44.912822208136205
d90e5bc9f95dc7eb,  Wed Jun 08:01:44  33.03317380415669 -97.28359855131286 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -44.912822208136205
d90e5bc9f95dc7eb,  Wed Jun 08:01:49  33.032995512482465 -97.28335911475055 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -58.86716946596047
d90e5bc9f95dc7eb,  Wed Jun 08:01:54  33.03285592720004 -97.28308346420955 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -58.86716946596047
d90e5bc9f95dc7eb,  Wed Jun 08:01:59  33.03271634191761 -97.2828078141052 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -58.86716946596047
d90e5bc9f95dc7eb,  Wed Jun 08:02:04  33.03268297936108 -97.28249992581745 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -92.58182395758148
d90e5bc9f95dc7eb,  Wed Jun 08:02:09  33.03269514082992 -97.282178221006 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -92.58182395758148
d90e5bc9f95dc7eb,  Wed Jun 08:02:14  33.03271416460222 -97.28185759144931 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -102.38614973982754
d90e5bc9f95dc7eb,  Wed Jun 08:02:19  33.032772074760736 -97.28154305511677 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -102.38614973982754
d90e5bc9f95dc7eb,  Wed Jun 08:02:24  33.03283556732726 -97.2812317154933 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -128.90596027994036
d90e5bc9f95dc7eb,  Wed Jun 08:02:29  33.033005125645936 -97.28098111691861 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -128.90596027994036
